original_text,augmented_text,intermediate_english
我的嘴巴好寂寞 谁来推荐一点连锁的零食和饮料 这两天喝了蜜雪瑞幸古茗,"我的嘴好孤单,谁会推荐 一对夫妇链的零食和饮料?","My mouth is so lonely, who's gonna recommend a couple of chains of snacks and drinks?"
一路的特色小店,这是一个特殊的商店 整个行程。,It's a special shop for the whole trip.
打了一盘子绿色菜。我都没注意隔壁还有鸡肉菜。整个三月我好像没怎么来食堂。,我甚至没注意到隔壁有鸡肉和肉汁,I didn't even notice there was chicken and gravy next door. I didn't seem to be in the cafeteria for the whole of March.
古筝的日记簿 一期班味很重的vlog,古老的风筝日记 优雅的风筝,An ancient kite's diary. A classy vlog.
纪录片什么时候播啊,纪录片什么时候开始?,When's the documentary going on?
晒晒太阳,阳光。,Sunshine.
20250422好好吃早餐,"20,250,422号吃早餐愉快","Have a good breakfast at 20,250,422."
言论自由，说明星长的咋样不是大问题吧。,"言论自由不是一个大问题,不是吗?","Freedom of expression is not a big problem, is it?"
时间过的好恍惚,好久不见,It's been a long time.
去取了点现金，有时候需要用点,我去拿了些现金 有时候我需要用,I went to pick up some cash. Sometimes I need to use it.
55105470,55105470,55105470
太能发了 之前又忙又累会攒着休息时发，井喷式发推,"我很忙,我累了,我会节省休息时间,我会爆炸的","I'm so busy, I'm tired, I'll save my rest, I'll blow up."
studyaccount,研究账户,Studyacaccount
周末 家里蹲,周末在家 周末 在家 周末 周末,"On weekends, at home."
今年最后一个月了,今年最后一个月,Last month of the year.
1欢迎收看sin的每周plog频道,欢迎来到辛的每周标签频道,Welcome to Sin's weekly tab channel.
我老公说我衣服都很丑，全靠颜值撑着 我该高兴吗,"我丈夫说我的衣服很丑, 上面有面值","My husband says my clothes are ugly, they're covered in face value."
上海上海长滩观光塔,上海长滩旅游塔,Shanghai Long Beach Touring Tower
小臂代偿,一只小手臂给你,A little arm for you.
鬼怪也加班 那就呼应下万圣氛围,"鬼魂加班,让我们听听","Ghosts work overtime, so let's hear it."
99一束花,99束花花花,99 bouquets of flowers
流动彼岸 41不包国际国内 煤炉已切,"在河的另一边,国际和国内煤炉没有覆盖41个煤炭。","On the other side of the river, 41 are not covered by international and domestic coal stoves."
好久不见 新概念英语,好久不见,It's been a long time.
现在也是同IP了,现在的IP是同一个了,It's the same IP now.
英俊的鼻孔,一个英俊的鼻孔,A handsome nostril.
女巫小彩,巫婆颜色,Witch colour.
今日降温,今天很凉爽,It's cool today.
今日晚餐包菜粉条炒肉青椒肉肠,今天的晚餐是用炸青辣椒香肠送的,Today's dinner is served with fried green pepper sausage.
建军节的图片 青岛中国人民解放军海军博物馆,"青岛人民解放军海军博物馆照片,",Photo of the Qingdao People's Liberation Army Naval Museum.
平凡的日子，尽心修炼自己的情绪,"你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,","It's just a normal day, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know,"
六点我起来上厕所，然后喵喵开始叫要吃的 我再睡半小时吧,我六点去洗手间 开始喊着要吃东西 我会睡半小时,I'll get up to the bathroom at 6:00 and start screaming for food. I'll sleep for half an hour.
好奇怪的人,真是一个奇怪的人,What a strange man.
大学第722天 究竟是谁共享单车需要骑这么高？我已经练就无情铁手，可以把它按下去。,大学第722天 谁把自行车开得这么高?,"On the 722nd day of college, who shared the bike so high? I've practiced the iron hand, so I can push it down."
娘家的一天昨天,我母亲昨天的一天,My mother's day yesterday.
412 囤禾只分,"412,只存放412号","412, hoarding only."
困晕啦 开睡 明早我一定能起来上早8,"我困了,我早上会起床的",I'm sleepy. I'm sure I'll get up in the morning.
当老公开始上摄影课后,我丈夫上摄影课的时候,"When my husband started photography class,"
山重 水复 疑无路,"山很重,水很清澈,没有出路","The mountain is heavy, the water is clear, there is no way out."
准备好了，8号开盘应该也没啥可买了,我准备好了 我觉得8号没什么好买的,I'm ready. I don't think there's much to buy on the 8th.
浅逛一下吧 汕头汕头万象城,我们去散散步吧,Let's go for a walk.
服了我自己 今中午吃完饭找不到车钥匙了 后来想起来放在本想占的那个桌子上了 还好给我收起来了,"午饭后,我找不到车钥匙","After lunch, I couldn't find the keys to the car."
装得有模有样的,你表现得就像在做一样,You're acting like you're doing it.
拖延的北京日记 北京,推迟《北京日记》,The Postponement of Beijing Diaries
谁在ai算命,谁是财富的出纳?,Who's the teller of fortune?
几天不看热搜，好多瓜好多瓜。,我几天不看热量 很多瓜,I don't look at the heat for days. Lots of melons.
日常 天黑的越来越早啦,天天变黑了,It's getting darker every day.
今晚吹的风是热风啊，降速慢慢跑，不敢跑快了跑步,"今晚的风是热的,慢点跑,我跑不快",Tonight's wind is hot. Slow down and run. I can't run fast.
来了来了 起得比较早的一天,"我在这里,我早醒了",I'm here. I woke up earlier.
雨总会停,雨总是停的,The rain always stops.
大学期间最后一节课,大学最后班,Last class at the university.
1400,1400号,1400.
在工位上玩了三天合成龙了，真的没人管管我吗,已经三天了 没人真正关心我,It's been three days at the table. Nobody really cares about me.
你来了麽,你在吗?,Are you here?
给个机会,给我一个机会,Give me a chance.
一年一度的关系维护,年度关系维护,Annual relationship maintenance
有点想割双眼皮,我想割断我的眼皮,I kind of want to cut my eyelids.
不负责任地猜想一下，别下次上大号就是为了给老丈人坦白吧,"不负责任的思考,不要去大一个 下一次只是向老头子坦白。","Think irresponsiblely, don't go to the big one next time just to confess to the old man."
不听话的小孩要被黄鼠狼先生吃掉,难以想象的孩子们会被魏赛尔先生吃掉,Unbelievable children are to be eaten by Mr. Weasel.
怎么感觉早上来的时候公司楼下几棵树还是秃的 下班的时候已经挂上绿了,每天早晨楼下几棵树秃了 感觉如何?,How does it feel that a few trees downstairs were bald by the time of the morning?
从车里走出来的AI,AI走出了车。,AI walked out of the car.
上半場結束。 可能有2的幾率 。 但期待總是好的。,"上半场末,可能有两个机会,但期望总是好的。",The end of the first half. There may be two odds. But the expectations are always good.
正式开启裸辞之旅,让我们开始裸奔旅行吧,Let's start a naked trip.
青师傅已下工 还好这次本来计划两天的直接看完今天回去,清少爷去上班了 不过我很高兴两天后 直接检查回来,"Master Qing is off to work, but I'm glad we're going back after two days of direct inspection."
浅田露，醒一醒，发给自拍我看看呢,"麻田,醒来给我送个自拍","Asada, wake up and send me a selfie."
极速又缓慢的生活 北京,"北京,人生既快又慢","Life is fast and slow, Beijing."
每个月定时吃点131499感觉跟那个补品一样整个人都内个了,你每个月都吃111114499 感觉你和那份补充品在同一地方,"Every month, you eat 1 1 1 1 1 4 499. It feels like you're in the same place as that supplement."
"手帐 m5   ୧( "" )୨","手持设备 m5 ( "" )","Handheld m5 ( "" )"
服了 现在瓜子嗑得停不下来,"是的,我现在不能阻止甜瓜了","Yes, I can't stop the melon now."
week4,第4周,Week4
重庆协信星光广场,重庆相信星光广场,Chongqing believes in Starlight Square.
林俊杰 这么早就冲浪啊哥 是一夜没睡吗 突然想到你在米国,你一直在冲浪吗?,So you're surfing all this time?
在给大知打广告，最近大知的演唱会门票还剩很多余票,我们在做大京的广告 演唱会的票快没了,We're advertising Dae-kyo. We're running out of tickets for the concert.
焦糖肉桂,焦糖肉桂,Caramel cinnamon
老蒋巨靠谱的视频 青年的两次跨越：【非黑即白】和【不过如此】,清青春穿越两次的最大视频:“不是黑人或白人”和“但是是”。,"The biggest video of Chiang's youth crossing twice: ""Not black or white"" and ""but so."""
谁谁谁？飞机上猛猛看也没认出来 长沙长沙黄花国际机场,你在飞机上不认识他,Who's who? You didn't recognize him on the plane.
白雪却嫌春色晚，故穿庭树作飞花 阜新万达广场,"雪不看起来太年轻,所以它就像一棵树 成为一朵花,它就像新国话广场","Snow doesn't look too young, so it's like a tree to be a flower, and it's like New Mandarin Square"
三个人来星巴克喝劲酒,三个人来星巴克喝酒,Three men came to Starbucks for a drink.
前半生在孤独的学习里自律，后半生在热闹的人群中自由,"上半部分是自律的单独学习,下半部分在群众中免费。","The first half is self-disciplined in solitary learning, and the second half is free in popular crowds."
睡了睡了,我睡着了,I'm asleep.
你脾气大 遇事要冷静,你发脾气了 你得冷静下来,You've got a temper. You need to calm down.
买了电瓶车之后每天就这样出门就骑车上床就睡觉,"买了瓶装车后,你出去 每天骑自行车上床睡觉","After buying a bottled car, you go out and you go to bed by bike every day."
我为什么会在这个点在b站看两个男人舌吻？？,为什么现在我要看两个男人的舌头?,Why would I watch two men's tongues at this point?
在动车上写了一篇给带教老师的小作文 感慨一下人和人之间缘份有多么奇妙 以及人生永远充满着离别,他为车上的老师写了一篇小论文 来给人留下深刻印象 做人和永远成为生活的一部分是多么美妙,"He wrote a little essay for a teacher in the car, to impress how wonderful it is to be human and to be a part of life forever."
改变自己第一件事：再也不要在外人面前流眼泪。,首先要做的是改变:不要在外人面前流泪。,The first thing to do is change: no more tears in front of the outsiders.
刚认识师妹的日子,我刚认识我妹妹,I just met my sister.
活着的证据,活着的证据,Alive evidence.
goodbye,再见,Good bye.
广州六运小区,广州第六运输区,Guangzhou 6th Transport Zone
降温吃火锅 以及，喝到了很奇怪的饮料 木姜子刺梨气泡水,还有奇怪的饮料 姜梨泡泡,"And, uh, a strange drink, a ginger pear bubble."
每日一画 我什么都不知道 因为我只是一只桔子,每天我都一无所知 因为我只是个橙子,"Every day, I don't know anything because I'm just an orange."
来也匆匆 去也匆匆,"我赶时间,我赶时间",I'm in a hurry. I'm in a hurry.
广西人的一天,关西的一天,Guangxi's day.
返乡时大包小包，返城时也大包小包，回到桂林了，明天开始搬砖了 记录daily_life,回家后带着一个袋子 回家后带着一个袋子 回到吉林 明天带着砖块,"Back home with a bag, back home with a bag, back to Guilin, tomorrow with the bricks."
好久前做的一直没发,我很久没寄了,It's been a long time since I sent it.
一间只属于自己的房间,一个只有自己的房间,A room that only belongs to itself.
可惜不在京城 要求都完美适配了 九个半小时才能睡饱的人,不在首都真可惜 但完全配得上 整整9个半小时的睡衣,"It's a shame not to be in the capital, but it's a perfect match for a full nine-and-a-half-hour sleeper."
碎碎叨叨念念,对不起,I'm so sorry.
梦秀四敢不敢突然官宣吓我一跳,你不敢吓吓我一下,Don't you dare scare me suddenly
感觉过了个很长的周末，上次拍合照还是老哥结婚，再拍合照就是娃周岁了，时间飞逝。,"感觉就像过了一个漫长的周末, 最后一次我哥哥结婚, 然后孩子是老了,时间快用光了。","It feels like after a long weekend, the last time my brother got married, then the baby was old and time was running out."
全国第七次人口普查围裙已成时尚单品,第7次全国人口普查围裙已成为时髦的围裙。,The 7th National Census apron has become a fashionable one.
MY杂货铺 手机支架美周卡 next level 支架只有柚，卡四个人都有,我的杂货店,My grocery store.
我今天晚上要早睡了 大家晚安,"我今晚要早点睡觉 晚安,大家晚安","I'm going to bed early tonight. Good night, everyone."
很有研究了,研究过很多,It's very researched.
day 15,第15天,Day 15
最近有点上头,我最近有点嗨了,I've been getting a little high lately.
干我们这一行的是万万不能减肥不吃碳水的,在我们的生意中 你不能减肥或者吃碳水,"In our business, you can't lose weight or eat carbon water."
人生未解之谜 至今 为什么十年了 天天还有这么多话说,生命的奥秘仍在被解开,The mystery of life is still being solved.
经鉴定 本人为纯困战神,我被确认为纯粹的战争神,I've been identified as a pure war god.
翻记录发现最后嘅微信对话只不过係两个月前,上一个微信对话 是在两个月前的纪录中发现的,The last micro-letter conversation was found in the record just two months ago.
一张ai扩图,这是一个宽阔的孔。,It's an expanse.
他说的都是我（以前）的词啊,他说的都是我的诺言,All he said was my word.
不是说分手，是根本没在一起吧,"这不是关于分手, 它甚至不是在一起。","It's not about breaking up, it's not even together."
轻轻想念,我好想你,I miss you so much.
一轉眼今天的耶啵已經到了6年前在片場時他哥捉著蟲子祝他生快的年紀，這6年你們過得咋樣呀？,这六年你过得怎么样?,How have you been these six years?
苏州街角 gfx50s zeiss5014,苏州角角gfx50szeiss5014,Suzhou cornergfx50s zeiss5014
泡了三天的天麻，不知道今天能不能等到它的搭子,我不知道我能不能等到今天,I don't know if I can wait until today.
这谁点的鹅肝？,谁点的鹅肝肝?,Who ordered this foie gras?
宝宝除了家里的鸡鸭鹅就只吃外面新鲜的鱼了，极其挑剔的父女俩。,"婴儿只吃外面的新鲜鱼,家庭小鸭除外。","The baby only eats fresh fish outside, except for the family ducklings."
我现在再从头看八姨太能在完结时正好看完吗,我现在回想着你了 完事后你能读吗?,I'm looking back at you now. Can you read it when it's over?
话说莫里亚的能力还要物理搭配把剪刀啊,莫里亚蒂的能力需要一对剪刀,"So, Moriarty's ability needs a physical pair of scissors."
延迟记录一下,我们会推迟录音的,We'll delay the recording.
胶游记  良渚美院 黑白工坊,"胶水,漂亮的院子, 黑白工作坊","♪ Glues, fine courtyards, black and white workshops ♪"
缘由说这怎么办我不管我今天一定要进去，尹泾寒说别急稍等我有一计,我不在乎我今天是否进去,I don't care if I go in today.
今早梦见之前的一个帅帅男同事跟我说喜欢我 可能是因为昨天刷到了他的朋友圈 有点搞笑,"今天早上,一个英俊的男同事告诉我他喜欢我 可能是因为昨天他有了朋友圈","This morning, a handsome boy colleague told me he liked me, probably because yesterday he got his circle of friends."
打卡第23天，一天一个变化。希望能顺利回老部门,"23天,一天的改变 我希望我们回到旧部门","The 23rd day of the day, a change in the day. I hope we get back to the old department."
I人本人,我是个人,I'm a person.
想吃凤梨酥,我要菠萝,I want pineapples.
这个颜色叫香芋紫,"叫做""暮暮暮""",It's called Twilight Twilight.
睡了半个小时，一会约了姐姐,我睡了半个小时 晚点见姐姐,I slept for half an hour. I'll see my sister later.
最近吃的 家常菜,我吃了很多东西,I've been eating a lot of food.
干嘛呢 豹豹猫猫,"你在做什么,豹猫?","What are you doing, panther cat?"
睡不着 来合影,"我睡不着,拍张照吧",I can't sleep. Let's take a picture.
这一筷子二十年的功力,这把筷子的威力已经20年了,The power of this chopstick for 20 years.
日月同辉 ( 薇音乐 ),太阳和月亮。,The sun and the moon.
磁场真真是好重要,磁场是如此重要。,The magnetic field is so important.
早上遛狗苏河湾1小时。 中午跑南郊10公里。,"早上一小时在苏湾散步, 中午在郊区以南10公里处。","One hour to walk the dog in Su Bay in the morning, 10 km south of the suburb at noon."
我 我导师 我的科研内容,我 我的导师 我的科研工作,"Me, my mentor, my scientific work."
时间是一位健谈者,时间是说话的。,Time is a talker.
老规矩，微博先发 三亚宿咕XXSHOKU(三亚阿那亚店),通常的规矩是 魏博先从三亚宗古 二十肖库开始,The usual rule is that Weibo started with Sanya Choongu XXSHOKU
这个冬天 去不了大东北看雪 就在融创玩玩吧,这个冬天 你不能去东北看雪,"This winter, you can't go to the Northeast and watch the snow."
这个点室友说饿了，正在下面吃泡面，好香,室友说他饿了 他在下面吃面条 闻起来好香,The roommate says he's hungry. He's eating noodles down there. It smells good.
青春诗句里最重要的一句。,青年诗中最重要的词句,The most important phrase in youth poems.
放在劝分组可以回复500楼,我们可以回到五百楼,We can get back to the 500th floor.
运动打卡 滴 打卡,运动卡、滴滴、卡,"Sports cards, drops, cards."
成都四川音乐学院新都校区,"新首都,四川成都音乐学院","Chengdu Sichuan Academy of Music, New Capital."
李耕耘  和李耕耘一起健身打卡的第五十四天 太晚了 先占位,来不及坐下了,It's too late to get a seat.
就这么诚实了,这很诚实,That's honest.
准备买车 2025计划之外的事情,"准备买车,这不属于2025计划",Get ready to buy a car. It's not part of Project 2025.
海南东方 东方鱼鳞洲风景区,"东南方,东鱼海",It's southeast. It's the East Sea of Fish.
我的评价是,我的评估是...,My assessment is...
猪和景明,猪和庆民,Pigs and Gyeong-min.
每天就是吃饭 台球 麻将,"每天吃晚饭,游泳池,麻将","Every day is dinner, pool, mahjong"
能不能出鲸鲨日常泡面番,每天都有鲸鱼泡水吗?,Can't the whales blisters everyday?
2025yoga打卡第8次 每个动作都提醒身体出的毛病,第八次你到2025年瑜伽时 每次行动都提醒你身体状况,"The 8th time you hit the 2025 yoga, every move reminds you of your condition."
生活碎片,寿命碎片,Life fragments
几帧生活痕迹³₃,几条生命轨迹,A couple of life tracks.
此时此刻就想吃一碗泡面,我现在就要碗面,I want a bowl of noodles right now.
为数不多的下厨机会,做饭的机会很少,Very few opportunities to cook.
我们终其一生守护的，也许仅是内心深处的，那一点心火罢了。,我们毕生都在保卫它 也许只是内心深处 仅此而已,"We've spent our whole lives defending it, maybe it's just deep down, that's all."
还好学会了喝酒 不然有烦恼的时候都不知道怎么办周末愉快,"我很高兴我学会了喝酒, 或者我不知道如何有一个美好的周末 当我遇到麻烦。","I'm glad I learned to drink, or I don't know how to have a good weekend when I'm in trouble."
今天啥也没干 辛苦了,我今天什么都没做,I didn't do anything today.
只喝酒不抽烟，就是不害人只害己 很好这好像我悟出来什么很牛的哲理一样（点头）,这就像我已经想出 一些非常好的哲学。,It's like I've come up with some really good philosophy.
上班摸鱼经济 下班复习实务,渔业工作、学习工作实践。,"Work on fish economy, study practice at work."
My photography 立春。,我的摄影百合,My photography lily.
Day 4 in Tokyo,东京第4天,Day 4 in Tokyo
也许你关注很久以前的老照片,也许你很担心很久以前的旧照片,Maybe you're concerned about old pictures a long time ago.
我分享了文章 【五一活动】走进井冈山，行走红色圣地，探索绿色底色,我分享了这篇文章 我走进了伊奥卡山 穿过了红圣地 探索了绿色背景,"I've shared the article, and I've walked into Iioka Hill, walking through the red holy places, exploring the green background."
允许自己再摆烂一个月,让你再腐烂一个月吧,Allow yourself to rot for another month.
金价什么时候下来，俺要买乾坤圈,黄金价格什么时候会下跌?,When will the gold price come down? I'll buy a dry circle.
吃青团引发的感慨,这是皇后区的感觉,It's the feeling of the Queens.
月亮真够亮的，照到眼睛，把我亮醒了,"月亮足够亮亮,足以照亮我的眼睛,唤醒我。",The moon is bright enough to shine in my eyes and wake me.
我追星初期be like,我会像,♪ I'll be like ♪
初七 今天吃完这顿就过完年了 太快了吧,"七年级,到年底了","7th grade, it'll be the end of the year."
重庆龙门浩  重庆龙门浩老街,"重庆长门浩,重庆长门浩街","Chongqing Longmen Ho, Chong Qing Long Men Ho Street"
牛腱子新歌前奏怎么有点像Baddie,这有点像Baddie的新歌。,It's a little like Baddie for a new song.
袜子卷发,袜子卷发,Sock curly hair.
我的心似菠萝,我的心就像菠萝,My heart is like a pineapple.
今天有点冷，工作有点忙，心情有点暖,今天有点冷 工作有点忙 有点暖和,"It's a little cold today, a little busy at work, a little warm."
半夜看点鸡汤,看看午夜的鸡汤,Look at some chicken soup at midnight.
少有的十点就睡了 一觉醒来感觉都恍惚了,"其中一些人10点上床睡觉,他们都醒了。","A few of them went to bed at 10:00, and they all woke up."
我当然知道那不是我的月亮，但有一刻，它的确照在了我的身上。,当然我知道这不是我的月亮 但有一瞬间它就落在我身上了,"And of course I know that it is not my moon, but for a moment it was upon me."
明天补，今天的日记网不好居然就只有一截 晚点再写生活部分,今天的日记不太好 我们以后再写人生,Tomorrow we'll make it up. Today's journal's not a good one. We'll write about life later.
这是科目一阅读题！！！！,它的科目一读!,It's subject one reading!
让我看看那对cp的超话又在享用什么国宴呢,让我们来看看什么样的州晚餐 这些CPS正在吃。,Let's see what kind of state dinner those cps are having.
沙漠里的民宿,在沙漠里。,In the desert.
最近越吃越重口 吃饺子也想加很多辣椒,"我已经吃了很多 越来越多了, 而且我一直在吃 子 很多辣椒。","I've been eating a lot more and more, and I've been eating dumplings for a lot of chili."
现在真的一天只吃一顿饭了，好像可以习惯,一天只吃一顿 我想我会习惯的,It's really just one meal a day. I think I can get used to it.
现在还没起床超越80的人,现在你没有 起床超过80人。,Now you're not getting up over 80 people.
周六，杠铃操，然后肩颈瑜伽全用来打电话了。今天是三八妇女节，没有什么特别，依然是劳动的一天,"星期六,巴巴,然后肩膀瑜伽 都用来打电话。现在是38个妇女节,没什么特别的,还是工作日。","Saturday, barbing, and then the shoulder yoga is all used for phone calls. It's 38 women's day, nothing special, it's still a day of work."
有点忙，这个点吃早餐。,现在忙着吃早餐,A little busy for breakfast at this time.
樱花飘落的时间是秒速5厘米，用完一本笔记本的时间是一年。起始日期倒也工整,"樱花以每秒5厘米的速度落下,用笔记本一年。","The cherry blossoms fall at five centimetres per second, and a notebook is used for a year."
35亿啊35亿,"35亿,35亿",3.5 billion. 3.5 billion.
允我热烈 容我枯槁,让我活下去 让我死,Let me live. Let me die.
做人就是该低头的时候千万不能嘴硬。,是时候低着头闭上嘴了,It's time to keep your head down and keep your mouth shut.
普拉提两天,Platteau两天。,Platteau for two days.
必须发条记念一下 听劝听劝 少用特效,我们必须注意到这一点。,We have to make a note of it.
我产从始至终就是绑得很紧啊 强行否定角色与生俱来的羁绊去理解角色只会变得片面和单薄,我从一开始就被绑起来了,I've been tied up from the beginning.
吃了这碗妈妈牌早餐，拎起行囊又是一年年过完了,吃这碗妈妈的早餐 背着袋子又过了一年,"Eating this bowl of mom's breakfast, carrying the bag is over again a year old."
光听司机的口音，活脱脱一个王安全。 桂林,只要听司机的口音 并摆脱国王。,Just listen to the driver's accent and get free of a king.
零钱姐余税姐 记得常来我微博捡垃圾,嘿 税后换姐姐 记得来找我捡垃圾,"Hey, change sister after taxes, remember to come to me to pick up garbage."
好了我开始剪了,"好吧,我切开。","All right, I'm cutting."
发光的大蒜,发光的大蒜,The glowing garlic.
青岛也有的有的,青岛还有其他人,There are others in Aoshima.
分享一杯 拯救每个困飞的上午 顺便废了午睡,"分享一杯饮料, 节省每个困睡的早晨, 睡午觉。","Share a drink, save every sleepy morning, and take a nap."
先发一条占个位置 之后再编辑吧,"派一个人坐下,然后编辑","Send one to take a seat, then edit it."
Christmas List,圣诞圣诞清单,Christmas List
跨年来洗脚来了。。我也是老了,我洗脚好几年了 我也老了,I've washed my feet for years. I'm old too.
不要大脑空空,别发疯,Don't lose your mind.
现在脑子里一直是 透明的 透明的 世界都是透明的 但是照理来说这首歌只听过两遍啊 好上头,"它总是透明,透明, 世界是透明的, 但它只是被听到两次反正。","It's always been transparent, transparent, the world is transparent, but it's only been heard twice anyway."
d几来着 周五了反正,现在几点了?,"What time is it? Friday, anyway."
双胞胎哥弟,双胞胎兄弟,The twin brother.
老铁随便拍了点而已 50g我存哪去啊,铁刚打了几枪 50克 我该放哪里?,Iron just took a few shots. 50g. Where am I going to put it?
今日体重 5905,今天体重5905,"Weight today, 5905"
汗津津的卖鱼妹,那个来自汗金进的鱼女,The fish girl from Khan Jinjin.
差点忘了今夕是何年,我差点忘了今年是哪一年了,I almost forgot what year this is.
我的二胎宝 疫苗没打全 不能洗澡 脏脏修狗,"我的第二个宝宝,疫苗不是全部。","My second baby, the vaccine's not all."
有小狗之后一天洗八百次手,狗狗过后一天八百次,Eight hundred times a day after a puppy.
时间的对照,时间比较,Time comparison
半夜接机 杭州杭州萧山国际机场,"杭州,小山国际机场","Hangzhou, Xiaoshan International Airport."
在座各位耍杂技的都知道 这个节目费腰不费手 成都,这间屋子里每个人都知道这个节目很贵 很成功,"Everyone in this room knows this show is expensive, it's a success."
我在等无限火力,我在等待无限火力,I'm waiting for limitless firepower.
良药苦口利于病 忠言逆耳利于行,良药对病人有益 良药对病人有益,"The good medicine is good for the sick, and the good word is good for the good."
周一 保持情绪稳定,星期一 保持冷静,Monday. Stay calm.
今日打卡,今天的卡片,Today's card
3Q歪瑞骂取,三个皇后骂人,Three Queens scolding.
砍了两下地，锄头松了回去调整，今天到此结束。往里走好想知道他们是怎么除掉草的,"我砍了两层楼, 蹄子松了,调整了。这是一天的结束。你进去看看他们是怎么把草除掉的。","I cut down two floors, the hoes were loose and readjusted. This is the end of the day. Go inside and wonder how they got rid of the grass."
2025请对我好一点,2025年 请对我好一点,"2025, please be nice to me."
祝青（G2er）灼夭风催雨 风催雨 （）,"G2er,风,雨","G2er, the wind, the rain."
浪钉产出站 斯钧舟泯日常vol37  在乎你的人会感觉得到你的小情绪,草纸输出站 每天排行排行榜第37卷 还有关心你的人 都会感受到你的触摸,"Snack output station, scribble day-to-day vol. 37, and those who care about you will feel your touch."
嗯？真小猫从不回头看脱掉的衣服,猫从不回头看衣服,Hmm? The cat never looks back at the clothes off.
吃饭 2,"晚餐,两杯",Dinner. Two.
看点高级？的？,看到高档货了吗?,See some high-class stuff?
zmx画的 半夜打电话给我看,是Zmx给我的 半夜给我打电话,It's from zmx. Call me in the middle of the night.
十二月的第一天,12月的第一天,The first day of December.
那些打呼噜特别响的人真的不会把自己吵醒吗,那些打呼噜这么大声 以至于不会醒来的人吗?,Are those who snore so loud that they won't wake themselves up?
来自杨汝晴的小红书,你写的一本红色的小书,A little red book from you.
这儿的风也不小啊 要抓紧我的小蓝帽啊,这里的风没那么小 抓稳我的蓝帽子,The wind's not so small here. Hold on to my blue hat.
超级大放送2,超强释放两个。,Superbly released two.
大连星海广场,大连星广场,Dalian Star Square.
镜头的语言。,镜头的语言。,The language of the lens.
爱情是可以控制自己的吗？,爱情能控制自己吗?,Can love control itself?
女神 物种难辨,女神 物种很难辨别,The goddess. The species are hard to identify.
真的有点像林黛玉吗 。,真的有点像林德玉吗?,Is it really a bit like Lin Deok-yu?
年龄越大 放下的东西就越多 不care 的也就越多,你年纪越大 放下的东西越多 你不在乎的东西就越多,"The older you are, the more things you put down, the more things you don't care."
人活在缘分里。,人命垂危,Man lives in fate.
唯有___兄,唯一的兄弟。,Only brother.
广州Magic Base觅境餐厅,广州魔法基地,"Magic Base, Guangzhou."
怎么突然那么多外国人啊,为什么突然有这么多外国人?,Why are there so many foreigners suddenly?
时间过得真快啊,时光飞逝,Time flies fast.
微博全实况,我们在Twitter直播,We're live on Twitter.
我是院方一块砖，哪里需要哪里搬,"我是院子边的砖头,你需要它吗?",I'm a brick on the side of the yard. Where do you need it?
什么水平？,哪个级别?,What level?
一个人和爱人的关系模式就是早年和父母关系模式的投射。,一个人与情人的关系模式是预测年幼年龄和父母关系模式。,The pattern of a person ' s relationship with a lover is the projection of an early age and a parent ' s relationship model.
xianggouyiyangdegouzhe,吉古伊扬德古兹,Xianggouyiyangdegouzhe
Last lantern,最后绿灯,Last Lantern
又想剪头发 又想做美甲 想来想去想完了 就好像已经去做了一样 然后就没瘾了,"你想剪头发,想做指甲, 想考虑一下,就好像你已经做了一样, 而你已经脱身了。","You want to cut your hair, you want to make your nails, you want to think about it, it's like you've already done it, and you're out of it."
给zyx弟弟拍的老鼠吃芋圆照,给Zyx兄弟拍的老鼠照片,A photo of a mouse taken for zyx's brother.
又是一年 910,"再一年,910年","Another year, 910."
爱人啊 我们若倦怠 就趁此刻离开 随便去哪里 只要你在,"亲爱的,如果我们累了,我们现在就走, 无论我们想去什么地方, 只要你在这里。","Honey, if we're tired, we'll leave right now, wherever we want to go, as long as you're here."
